Dealer,Card2,Action
2,9,Stand
3,9,Stand
4,9,Stand
5,9,Stand
6,9,Stand
7,9,Stand
8,9,Stand
9,9,Stand
10,9,Stand
11,9,Stand
2,8,Stand
3,8,Stand
4,8,Stand
5,8,Stand
6,8,DoubleS
7,8,Stand
8,8,Stand
9,8,Stand
10,8,Stand
11,8,Stand
2,7,DoubleS
3,7,DoubleS
4,7,DoubleS
5,7,DoubleS
6,7,DoubleS
7,7,Stand
8,7,Stand
9,7,Hit
10,7,Hit
11,7,Hit
2,6,Hit
3,6,DoubleH
4,6,DoubleH
5,6,DoubleH
6,6,DoubleH
7,6,Hit
8,6,Hit
9,6,Hit
10,6,Hit
11,6,Hit
2,5,Hit
3,5,Hit
4,5,DoubleH
5,5,DoubleH
6,5,DoubleH
7,5,Hit
8,5,Hit
9,5,Hit
10,5,Hit
11,5,Hit
2,4,Hit
3,4,Hit
4,4,DoubleH
5,4,DoubleH
6,4,DoubleH
7,4,Hit
8,4,Hit
9,4,Hit
10,4,Hit
11,4,Hit
2,3,Hit
3,3,Hit
4,3,Hit
5,3,DoubleH
6,3,DoubleH
7,3,Hit
8,3,Hit
9,3,Hit
10,3,Hit
11,3,Hit
2,2,Hit
3,2,Hit
4,2,Hit
5,2,DoubleH
6,2,DoubleH
7,2,Hit
8,2,Hit
9,2,Hit
10,2,Hit
11,2,Hit
